mode	label	channel	graph	scale	mean_radius	re	im	abs	jacobian
selected_channel	GL06_prob1000	5	4	0.125	125325.01231647545	0.04307548411200622	0.006857737512045488	0.043617953817984355	2.89406963014054e+57
selected_channel	GL06_prob1000	5	4	0.0625	250651.0246329509	0.08615095815500924	0.013716188189014773	0.08723600982084533	7.408965733324158e+59
selected_channel	GL06_prob1000	6	4	16.0	978.1094712229884	0.00029638777519010076	0.0007264193969539062	0.0007845577439252095	3.996057410090965e+40
selected_channel	GL06_prob1000	6	4	8.0	1957.2189424459768	0.0005975713226481419	0.001454636053917603	0.0015725957951770143	1.0256035185859069e+43
selected_channel	GL06_prob1000	6	4	4.0	3915.4378848919537	0.0011999146598882099	0.002911057741880157	0.0031486588204464195	2.6288939019144502e+45
selected_channel	GL06_prob1000	6	4	2.0	7831.875769783907	0.002404589487452471	0.00582389531961374	0.006300778308827074	6.7342578443981054e+47
selected_channel	GL06_prob1000	6	4	1.0	15664.751539567815	0.004813933226247062	0.011649567580131224	0.012605013998834349	1.7245192422561031e+50
selected_channel	GL06_prob1000	6	4	0.5	31330.50307913563	0.009632617750791541	0.02330091065273161	0.025213483733499537	4.415472397453225e+52
selected_channel	GL06_prob1000	6	4	0.25	62662.006158237724	0.019269985317341715	0.04660359607661811	0.05043042237978124	1.1304509428405329e+55
selected_channel	GL06_prob1000	6	4	0.125	125325.01231647545	0.0385447197340633	0.09320896658158127	0.10086429928663473	2.89406963014054e+57
selected_channel	GL06_prob1000	6	4	0.0625	250651.0246329509	0.07709418820822948	0.18641970726835586	0.2017320527667961	7.408965733324158e+59
selected_channel	GL06_prob1000	7	4	16.0	978.1094712229884	0.0003365348438894694	5.286536187822578e-05	0.00034066177895124267	3.996057410090965e+40
selected_channel	GL06_prob1000	7	4	8.0	1957.2189424459768	0.0006730631725985703	0.00010644860261309645	0.0006814288952684159	1.0256035185859069e+43
selected_channel	GL06_prob1000	7	4	4.0	3915.4378848919537	0.0013461180473460165	0.00021361268982061655	0.001362961547015561	2.6288939019144502e+45
selected_channel	GL06_prob1000	7	4	2.0	7831.875769783907	0.002692226907640661	0.0004279396696325798	0.0027260260605998683	6.7342578443981054e+47
selected_channel	GL06_prob1000	7	4	1.0	15664.751539567815	0.005384444184073756	0.0008565930325466399	0.005452154692854298	1.7245192422561031e+50
selected_channel	GL06_prob1000	7	4	0.5	31330.50307913563	0.01076887851487526	0.0017138994602445786	0.010904411759832285	4.415472397453225e+52
selected_channel	GL06_prob1000	7	4	0.25	62662.006158237724	0.021537747063861235	0.00342851216881995	0.021808925793780163	1.1304509428405329e+55
selected_channel	GL06_prob1000	7	4	0.125	125325.01231647545	0.04307548411200622	0.006857737512045488	0.043617953817984355	2.89406963014054e+57
selected_channel	GL06_prob1000	7	4	0.0625	250651.0246329509	0.08615095815500924	0.013716188189014773	0.08723600982084533	7.408965733324158e+59
selected_channel	GL06_prob1000	8	4	16.0	978.1094712229884	6.0388524515608354e-05	-0.00014991210718903582	0.00016161811091282188	3.996057410090965e+40
selected_channel	GL06_prob1000	8	4	8.0	1957.2189424459768	0.00012145871012514707	-0.00030066190237958195	0.000324268095574902	1.0256035185859069e+43
selected_channel	GL06_prob1000	8	4	4.0	3915.4378848919537	0.0002435962212488607	-0.0006021584429070825	0.0006495643997103029	2.6288939019144502e+45
selected_channel	GL06_prob1000	8	4	2.0	7831.875769783907	0.00048786981745547624	-0.0012051500016737572	0.0013001551773993351	6.7342578443981054e+47
selected_channel	GL06_prob1000	8	4	1.0	15664.751539567815	0.0009764162976581432	-0.002411132358760463	0.002601335817958579	1.7245192422561031e+50
selected_channel	GL06_prob1000	8	4	0.5	31330.50307913563	0.0019535089017201483	-0.0048230966950411494	0.005203696643619487	4.415472397453225e+52
selected_channel	GL06_prob1000	8	4	0.25	62662.006158237724	0.003907693941739465	-0.009647025186171608	0.010408418077927917	1.1304509428405329e+55
selected_channel	GL06_prob1000	8	4	0.125	125325.01231647545	0.007816063903331089	-0.01929488200151366	0.020817860754488944	2.89406963014054e+57
selected_channel	GL06_prob1000	8	4	0.0625	250651.0246329509	0.015632803745176713	-0.038590595698682145	0.04163674614225223	7.408965733324158e+59
selected_channel	GL06_prob1000	9	4	16.0	978.1094712229884	-0.0002010129668592075	-0.000103618240749633	0.00022614807684698482	3.996057410090965e+40
